"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
10C0001560,SURGCENTER PINELLAS LLC,12416 66TH ST. N STE. D,LARGO,FL,33773,,(727) 408-5310,97,3,0,98,90,8,2,94,86,13,1,94,84,14,2,94,,761,244,32,01/01/2024,12/31/2024
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97,3,0,98,89,9,2,93,85,12,3,93,81,16,3,93,,618,186,30,01/01/2024,12/31/2024
10C0001574,CORNERSTONE SURGICARE LLC,511 HEWITT ST,PENSACOLA,FL,32503,,(850) 912-6505,97,3,0,98,96,2,2,97,91,7,2,96,91,7,2,96,"3,10",236,48,20,01/01/2024,12/31/2024
10C0001575,TAVARES SURGERY LLC,1878 MAYO DR,TAVARES,FL,32778,,(352) 508-5401,96,4,0,98,86,10,4,91,86,13,1,94,84,15,1,94,3,624,206,33,01/01/2024,12/31/2024
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,95,4,1,97,92,6,2,95,88,9,3,94,86,11,3,94,,1020,270,26,01/01/2024,12/31/2024
10C0001577,ADVANCED SURGERY CENTER OF SARASOTA LLC,2621 CATTLEMEN RD SUITE 100,SARASOTA,FL,34232,,(941) 444-5510,98,2,0,99,95,4,1,97,96,3,1,97,90,9,1,96,,555,234,42,01/01/2024,12/31/2024
10C0001578,SURGCENTER NORTHEAST LLC,2438 DR MLK JR STREET NORTH SUITE C,ST PETERSBURG,FL,33704,,(727) 565-0740,97,3,0,99,87,10,3,92,88,9,3,95,80,18,2,92,,541,163,30,01/01/2024,12/31/2024
10C0001579,SURGCENTER OF ORANGE PARK LLC,"1465 KINGSLEY AVE., STE. 1201",ORANGE PARK,FL,32073,,(904) 385-4854,98,2,0,99,94,5,1,97,94,5,1,98,94,4,2,97,,1384,331,24,01/01/2024,12/31/2024
10C0001582,LONGLEAF SURGERY CENTER,3010 STARKEY BLVD,NEW PORT RICHEY,FL,34655,,(727) 372-0600,99,1,0,99,92,7,1,96,90,8,2,96,86,13,1,95,,670,204,30,01/01/2024,12/31/2024
10C0001586,MARION SURGERY CENTER LLC,2207 SW 1ST AVE,OCALA,FL,34471,,(352) 732-4020,94,5,1,96,90,9,1,94,86,9,5,93,78,18,4,90,,570,205,36,01/01/2024,12/31/2024
10C0001588,SURGCENTER OF PALM BEACH GARDENS LLC,900 VILLAGE SQUARE CROSSING SUITE 100,PALM BEACH GARDENS,FL,33410,,(561) 429-6880,98,2,0,99,93,6,1,96,89,10,1,96,90,9,1,96,,940,199,21,01/01/2024,12/31/2024
10C0001589,ADVANCED SURGERY CENTER OF TAMPA LLC,1881 W. KENNEDY BLVD,TAMPA,FL,33606,,(813) 693-5000,98,2,0,99,91,8,1,95,87,11,2,95,89,10,1,96,,651,120,18,01/01/2024,12/31/2024
10C0001594,MIAMI CHILDRENS HOSPITAL AMBULATORY SURGERY CENTER,"800 SW 108TH AVE, STE. 200",MIAMI,FL,33174,,(305) 228-7554,,,,,,,,,,,,,,,,,1,,,,,
10C0001596,SEASIDE SURGERY CENTER,1879 VETERANS PARK DR SUITE 1101,NAPLES,FL,34109,,(239) 592-4955,98,2,0,99,93,6,1,96,96,3,1,97,92,7,1,97,,546,278,51,01/01/2024,12/31/2024
10C0001600,ADVENTHEALTH SURGERY CENTER DAVENPORT LLC,107 PARK PLACE BOULEVARD,DAVENPORT,FL,33837,,(863) 419-2812,95,4,1,97,88,9,3,92,85,12,3,94,83,14,3,93,,2038,467,23,01/01/2024,12/31/2024
10C0001601,SELECT PHYSICIANS SURGERY CENTER,3440 WEST MARTIN LUTHER KING JR BLVD SUITE 103,TAMPA,FL,33607,,(813) 321-1618,99,1,0,100,90,8,2,94,91,9,0,96,84,15,1,94,,1035,188,18,01/01/2024,12/31/2024
10C0001603,THE ORTHOPAEDIC SURGERY CENTER OF OCALA,1600 SOUTHEAST 17TH ST,OCALA,FL,34471,,(352) 512-9210,98,2,0,99,94,5,1,97,95,4,1,97,91,6,3,95,3,312,131,42,01/01/2024,12/31/2024
10C0001608,SURGCENTER OF ST. LUCIE,10521 SOUTHWEST VILLAGE CENTER DR #104,PORT ST. LUCIE,FL,34987,,(772) 345-8600,96,3,1,98,91,7,2,94,88,9,3,94,88,10,2,95,,696,234,34,01/01/2024,12/31/2024
10C0001609,ADVANCED CENTER FOR SURGERY VERO BEACH DBA THE ADVANCED CENTER FOR SURGERY,1355 37TH STREET SUITE 304,VERO BEACH,FL,32960,,(000) 000-0000,97,3,0,98,90,8,2,94,89,10,1,95,89,10,1,96,,1129,406,36,01/01/2024,12/31/2024
10C0001612,MIAMI SURGICAL SUITES LLC,9035 SUNSET DR SUITE 200,MIAMI,FL,33173,,(786) 615-6210,97,3,0,98,90,8,2,94,88,10,2,95,85,12,3,94,,1197,190,16,01/01/2024,12/31/2024
10C0001623,WELLINGTON EDOSCOPY CENTER,1157 SOUTH STATE ROAD 7,WELLINGTON,FL,33414,,(000) 000-0000,93,6,1,96,88,9,3,93,81,15,4,93,82,15,3,93,,1191,172,14,01/01/2024,12/31/2024
10C0001630,CLEVELAND CLINIC CORAL SPRINGS AMBULATORY SURGERY CENTER,5701 UNIVERSITY DR,CORAL SPRINGS,FL,33067,,(954) 689-5294,95,4,1,97,91,6,3,94,90,7,3,95,90,7,3,95,3,1355,220,16,01/01/2024,12/31/2024
10C0001637,INTRACOASTAL SURGERY CENTER LLC,2200 WEST EAU GALLIE BLVD SUITE 100,MELBOURNE,FL,32935,,(321) 610-3460,98,2,0,99,92,7,1,96,91,7,2,96,91,7,2,96,,1035,291,28,01/01/2024,12/31/2024
10C0001645,SURGCENTER CLEARWATER LLC DBA SURGCENTER DUNEDIN,980 MILWAUKEE AVE,DUNEDIN,FL,34698,,(727) 733-4610,97,3,0,98,91,7,2,94,91,8,1,96,84,15,1,94,,733,233,32,01/01/2024,12/31/2024
10C0001646,SKYWAY SURGERY CENTER LLC,625 6TH AVE SOUTH,ST PETERSBURG,FL,33701,,(727) 440-4888,98,2,0,99,95,4,1,97,94,4,2,97,94,5,1,98,,654,217,33,01/01/2024,12/31/2024
10C0001650,OPEN ACCESS VASCULAR ACCESS CENTER INC,16401 NORTHWEST 2ND AVENUE SUITE 101,MIAMI,FL,33169,,(305) 948-5333,,,,,,,,,,,,,,,,,1,,,,,
10C0001658,SURGCENTER OF GREATER JACKSONVILLE LLC,9143 PHILIPS HWY SUITE 500,JACKSONVILLE,FL,32256,,(904) 586-8540,97,3,0,99,93,6,1,96,87,10,3,94,84,13,3,93,3,1190,390,33,01/01/2024,12/31/2024
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER LLC,300 PALM BEACH LAKES BOULEVARD,WEST PALM BEACH,FL,33401,,(561) 725-4300,99,1,0,99,94,5,1,96,95,4,1,98,93,6,1,97,,794,314,40,01/01/2024,12/31/2024
10C0001668,ADVANCED SURGICAL CARE OF CLEARWATER,93 PARK PLACE BOULEVARD SUITE 102,CLEARWATER,FL,33759,,(727) 742-3564,99,1,0,99,93,5,2,96,94,4,2,97,92,5,3,96,,628,180,29,01/01/2024,12/31/2024
10C0001669,MINIMALLY INVASIVE SURGICENTER,6646 WEST ATLANTIC AVENUE,DELRAY BEACH,FL,33446,,(561) 638-9533,96,4,0,98,89,6,5,92,83,11,6,92,79,18,3,91,3,538,129,24,01/01/2024,12/31/2024
10C0001671,FLORIDA SPRINGS SURGERY CENTER LLC,366 BEVERLY COURT,SPRING HILL,FL,34606,,(352) 600-0220,99,1,0,99,91,7,2,95,96,4,0,97,93,6,1,97,,694,251,36,01/01/2024,12/31/2024
10C0001677,NAPLES SUNCOAST SURGERY CENTER LLC,2500 GOODLETTE FRANK ROAD SUITE 200,NAPLES,FL,34103,,(239) 418-0999,,,,,,,,,,,,,,,,,1,,,,,
10C0001693,ASC OF TRINITY DBA COMPREHENSIVE OUTPATIENT JOINT AND SPINE INSTITUTE,15238 VIRGINIA STATION,ODESSA,FL,33556,,(813) 596-5200,98,2,0,99,90,8,2,94,92,7,1,96,89,9,2,95,,777,258,33,01/01/2024,12/31/2024
10C0001700,SUNCOAST SURGERY CENTER DBA SUNCOAST SURGERY CENTER II,9617 GULF RESEARCH LANE,FORT MYERS,FL,33912,,(239) 791-2273,96,2,2,97,91,9,0,96,86,5,9,92,86,8,6,93,"3,10",176,39,23,01/01/2024,12/31/2024
10C0001708,SURGERY CENTER OF FLORIDA LLC,27814 SUMMERGATE BOULEVARD,WESLEY CHAPEL,FL,33544,,(813) 995-8982,98,2,0,99,98,2,0,99,95,2,3,96,92,5,3,96,"3,10",124,27,22,01/01/2024,12/31/2024
10C0001709,ADVENTHEALTH SURGERY CENTER MILLS PARK LLC,1812 NORTH MILLS AVENUE SUITE 210,ORLANDO,FL,32803,,(407) 420-0100,97,2,1,98,93,6,1,96,89,8,3,95,83,14,3,93,,1207,245,20,01/01/2024,12/31/2024
10C0001712,SPECIALTY SURGERY PARTNERS CENTER OF FLORIDA LLC DBA ALLIANCE SPECIALTY SURGICAL CENTER,1545 HAND AVENUE SUITE A2,ORMOND BEACH,FL,32174,,(386) 457-7114,100,0,0,100,97,2,1,98,95,4,1,97,97,0,3,98,"3,6",208,64,32,01/01/2024,12/31/2024
10C0001713,PRECISION BONE AND JOINT SURGERY CENTER,11575 SOUTHEAST FEDERAL HIGHWAY,HOBE SOUND,FL,33455,,(772) 788-2663,95,4,1,97,87,10,3,92,81,14,5,93,80,15,5,92,"3,10",160,40,25,01/01/2024,12/31/2024
10C0001717,CENTURION SURGERY CENTER OF JACKSONVILLE LLC,5191 FIRST COAST TECH PARKWAY 1ST FLOOR,JACKSONVILLE,FL,32224,,(904) 593-5146,96,3,1,97,92,7,1,95,91,6,3,95,88,9,3,94,3,957,248,26,01/01/2024,12/31/2024
10C0001732,ADVENT HEALTH SURGERY CENTER INNOVATION TOWER LLC,265 EAST ROLLINS STREET SUITE 3100,ORLANDO,FL,32804,,(407) 200-3706,98,2,0,99,95,4,1,97,94,4,2,97,90,9,1,96,3,1940,467,24,01/01/2024,12/31/2024
10C0001745,SOUTH FLORIDA JOINT REPLACEMENT CENTER LLC,1801 WEST SAMPLE ROAD SUITE 200,DEERFIELD BEACH,FL,33064,,(954) 904-0723,,,,,,,,,,,,,,,,,1,,,,,
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,97,2,1,98,92,6,2,95,89,8,3,95,85,10,5,92,,2719,509,19,01/01/2024,12/31/2024
11C0001008,MEDICAL EYE ASSOCIATES INC,1429 OGLETHORPE ST.,MACON,GA,31201,,(478) 743-7061,98,2,0,99,92,7,1,95,94,5,1,96,91,9,0,97,"3,10",152,49,32,01/01/2024,12/31/2024
11C0001015,SURGERY CENTER OF ROME LP,16 JOHN MADDOX DR,ROME,GA,30165,,(706) 802-3727,98,2,0,99,95,4,1,97,93,6,1,97,93,5,2,96,,2723,784,29,01/01/2024,12/31/2024
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,98,2,0,99,95,5,0,97,96,4,0,97,93,6,1,97,,1030,289,28,01/01/2024,12/31/2024
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,98,2,0,99,95,4,1,97,93,6,1,97,90,9,1,96,,800,181,23,01/01/2024,12/31/2024
11C0001079,COLUMBUS ENDOSCOPY CENTER LLC,1130 TALBOTTON RD,COLUMBUS,GA,31904,,(706) 327-0700,98,2,0,99,94,5,1,97,92,6,2,95,89,9,2,95,3,684,141,21,01/01/2024,12/31/2024
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,98,2,0,99,90,7,3,93,88,10,2,95,86,13,1,95,,1158,241,21,01/01/2024,12/31/2024
11C0001155,GEORGIA SURGICAL CENTER ON PEACHTREE LLC,"2061 PEACHTREE RD, STE. 100",ATLANTA,GA,30309,,(404) 351-0083,97,2,1,98,97,2,1,98,90,10,0,97,92,8,0,97,"3,6",277,60,22,01/01/2024,12/31/2024
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,98,2,0,99,91,7,2,95,91,6,3,95,88,10,2,95,,957,221,23,01/01/2024,12/31/2024
11C0001178,EYESIGHT LASER AND SURGERY CTR,220 CORDER RD,WARNER ROBINS,GA,31088,,(478) 923-5872,98,2,0,99,94,5,1,97,92,7,1,97,91,9,0,97,"3,6",304,79,26,01/01/2024,12/31/2024
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,98,2,0,99,94,5,1,97,93,6,1,97,91,8,1,96,,998,246,25,01/01/2024,12/31/2024
11C0001184,THE PHYSICIANS ATLANTA SURGERY CENTER,790 CHURCH ST SUITE 530,MARIETTA,GA,30060,,(678) 777-0623,98,2,0,99,86,13,1,93,94,4,2,96,88,12,0,96,"3,6",274,62,23,01/01/2024,12/31/2024
11C0001185,PEACHTREE ORTHOPAEDIC SURGERY CENTER AT PIEDMONT LLC,"77 COLLIER RD, STE. 2000",ATLANTA,GA,30309,,(404) 351-6393,97,3,0,98,92,7,1,96,87,12,1,95,87,12,1,95,3,842,168,20,01/01/2024,12/31/2024
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,99,1,0,99,95,4,1,97,95,4,1,97,94,5,1,97,,1019,243,24,01/01/2024,12/31/2024
11C0001203,PIEDMONT EYE,"3193 HOWELL MILL RD, SUITE 100",ATLANTA,GA,30327,,(404) 350-1410,96,4,0,98,90,9,1,94,94,4,2,95,89,7,4,94,"3,6",186,62,33,01/01/2024,12/31/2024
11C0001225,ORTHOPAEDIC ASSOCIATES SURGERY CENTER LLC,811 13TH ST SUITE 21,AUGUSTA,GA,30901,,(706) 396-3700,97,2,1,98,95,4,1,97,93,6,1,97,93,5,2,97,3,359,139,39,01/01/2024,12/31/2024
11C0001228,GAINESVILLE ENDOSCOPY CENTER LLC,660 E/F LANIER PARK DR,GAINESVILLE,GA,30501,,(770) 297-5321,97,3,0,98,91,7,2,94,90,8,2,96,92,6,2,96,,1567,325,21,01/01/2024,12/31/2024
11C0001234,ORTHOPAEDIC SOUTH SURGICAL CENTER,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98,2,0,99,94,5,1,97,95,5,0,98,94,5,1,98,,946,213,23,01/01/2024,12/31/2024
11C0001245,ENDSOCOPY CENTER OF MIDDLE GEORGIA LLC,610 THIRD ST,MACON,GA,31201,,(478) 464-2600,96,3,1,98,92,6,2,95,83,14,3,93,80,17,3,92,,1701,341,20,01/01/2024,12/31/2024
11C0001257,OPTIMUM SPINE CENTER LLC,"5555 PEACHTREE DUNWOODY ROAD, SUITE G99",ATLANTA,GA,30342,,(000) 000-0000,97,3,0,98,94,3,3,96,86,11,3,94,83,15,2,93,,1505,215,14,01/01/2024,12/31/2024
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,95,4,1,97,90,8,2,94,84,12,4,94,81,16,3,92,,979,255,26,01/01/2024,12/31/2024
11C0001266,DUBLIN EYE SURGERY CENTER LLC,2400 BELLEVUE ROAD SUITE 17,DUBLIN,GA,31021,,(478) 274-9600,99,1,0,99,93,6,1,96,95,1,4,96,90,9,1,96,"3,6",259,97,37,01/01/2024,12/31/2024
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,97,2,1,98,88,9,3,92,92,6,2,96,90,8,2,95,,1633,251,16,01/01/2024,12/31/2024
11C0001311,AUGUSTA EYE SURGERY LLC,905 STEVENS CREEK RD.,AUGUSTA,GA,30907,,(706) 922-6000,99,1,0,100,98,1,1,99,98,1,1,99,94,6,0,98,"3,10",113,39,35,01/01/2024,12/31/2024
11C0001319,THE PHYSICIANS ROME SURGERY CENTER,18 RIVERBEND SUITE 150,ROME,GA,30161,,(678) 777-0623,96,4,0,98,88,11,1,94,86,11,3,94,84,11,5,92,"3,6",374,67,18,01/01/2024,12/31/2024
11C0001324,THE PHYSICIANS NORTH ATLANTA SURGERY CENTER,5730 GLENRIDGE DR SUITE 110,SANDY SPRINGS,GA,30328,,(678) 777-0623,99,1,0,100,99,1,0,100,97,2,1,97,94,2,4,95,"3,6",342,63,18,01/01/2024,12/31/2024
11C0001356,CARLIN VISION SURGERY CENTER LLC,2347 LENORA CHURCH RD,SNELLVILLE,GA,30078,,(770) 979-2020,,,,,,,,,,,,,,,,,1,,,,,
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,7351 OLD MOON RD,COLUMBUS,GA,31909,,(706) 653-7000,97,3,0,99,91,7,2,95,82,17,1,94,87,12,1,95,,2399,374,16,01/01/2024,12/31/2024
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,99,1,0,99,92,7,1,96,89,9,2,96,88,10,2,95,,364,105,29,01/01/2024,12/31/2024
11C0001376,GWINNETT SURGERY CENTER,631 PROFESSIONAL DR SUITE 390,LAWERENCEVILLE,GA,30046,,(770) 338-1666,,,,,,,,,,,,,,,,,1,,,,,
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,97,3,0,99,93,6,1,96,96,3,1,97,95,3,2,97,,817,303,37,01/01/2024,12/31/2024
11C0001384,PEACHTREE ORTHOPAEDIC SURGERY CENTER AT PERIMETER,5505 PEACHTREE DUNWOODY RD SUITE 200,ATLANTA,GA,30342,,(404) 603-7302,97,3,0,98,97,2,1,98,93,3,4,96,88,10,2,95,3,732,121,17,01/01/2024,12/31/2024
11C0001389,SURGERY CENTER OF ATHENS LLC,2142 WEST BROAD ST BUILDING 100 SUITE 100,ATHENS,GA,30606,,(678) 777-0623,98,2,0,99,94,4,2,96,93,4,3,96,93,5,2,97,3,729,160,22,01/01/2024,12/31/2024
11C0001395,BRASELTON ENDOSCOPY CENTER LLC,"1515 RIVER PL, STE 320",BRASELTON,GA,30517,,(678) 997-2151,99,1,0,99,92,6,2,95,93,5,2,97,90,9,1,96,,1240,264,21,01/01/2024,12/31/2024
11C0001413,ATLANTA GENERAL AND BARIATRIC SURGERY CENTERE LLC,6300 HOSPITAL PARKWAY SUITE 150,JOHNS CREEK,GA,30097,,(678) 777-0623,98,2,0,99,94,5,1,97,98,2,0,97,92,8,0,97,"3,6",251,67,27,01/01/2024,12/31/2024
11C0001414,HEMLOCK AMBULATORY SURGERY CENTER LLC,101 PRESTON CT SUITE 104,MACON,GA,31210,,(478) 745-2385,,,,,,,,,,,,,,,,,1,,,,,
11C0001435,AOS SURGERY CENTER LLC,1290 INTERSTATE PARKWAY,AUGUSTA,GA,30909,,(706) 860-8383,97,3,0,98,92,7,1,96,92,7,1,97,88,10,2,95,3,571,181,32,01/01/2024,12/31/2024
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,99,1,0,99,95,5,0,97,93,6,1,97,86,10,4,93,,1080,250,23,01/01/2024,12/31/2024
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,99,1,0,99,90,8,2,94,96,3,1,97,91,8,1,96,,883,259,29,01/01/2024,12/31/2024
11C0001488,ADVANCED CENTER FOR JOINT SURGERY LLC,2000 HOWARD FARM DR SUITE T100,CUMMING,GA,30041,,(678) 777-0623,98,2,0,99,93,7,0,96,92,6,2,97,90,7,3,95,3,313,155,50,01/01/2024,12/31/2024
11C0001508,REGENERATIVE ORTHOPAEDICS SURGERY CENTER LLC,135 NORTH PARK PL SUITE 100,STOCKBRIDGE,GA,30281,,(470) 615-7646,99,1,0,99,96,3,1,98,93,6,1,97,92,7,1,97,,862,194,23,01/01/2024,12/31/2024
11C0001511,GI NORTH ENDOSCOPY.LLC,4150 DEPUTY BILL CANTRELL MEMORIAL ROAD SUITE 200,CUMMING,GA,30040,,(404) 446-0600,95,4,1,97,90,9,1,95,91,9,0,96,93,7,0,98,"3,6",300,62,21,01/01/2024,12/31/2024
11C0001542,HOUSTON ASC LLC,1659 WATSON BOULEVARD,WARNER ROBINS,GA,31093,,(478) 542-7959,98,2,0,99,95,3,2,97,94,5,1,96,89,10,1,96,3,1208,187,15,01/01/2024,12/31/2024
11C0001551,PEACHTREE ORTHOPAEDIC SURGERY CENTER-NORTH LLC,2860 RONALD REAGAN BOULEVARD SUITE 100,CUMMING,GA,30041,,(404) 425-1500,99,1,0,99,97,3,0,98,95,4,1,97,94,3,3,97,3,836,183,22,01/01/2024,12/31/2024
11C0001552,ENT SURGICAL SOLUTIONS,3915 JOHNS CREEK COURT SUITE 120,SUWANEE,GA,30024,,(678) 777-0623,99,1,0,100,92,6,2,95,94,6,0,98,84,12,4,93,"3,6",348,50,14,01/01/2024,12/31/2024
11C0001554,EYE CONSULTANTS FAYETTEVILLE SURGERY CENTER,350 BRANDYWINE BOULEVARD SUITE 101,FAYETTEVILLE,GA,30214,,(770) 719-7950,96,4,0,98,92,6,2,95,93,5,2,97,93,5,2,97,"3,6",240,97,40,01/01/2024,12/31/2024
11C0001564,BRASELTON ASC LLC,1524 RIVER PLACE SUITE 100,BRASELTON,GA,30517,,(770) 848-1730,98,2,0,99,97,2,1,98,97,3,0,98,95,5,0,98,6,352,95,28,01/01/2024,12/31/2024
12C0001003,HONOLULU SURGERY CENTER LP DBA SURGICARE OF HAWAII,500 ALA MOANA BLVD TOWER 1 SUITE 1B,HONOLULU,HI,96813,,(808) 687-6750,94,3,3,96,92,6,2,95,81,15,4,93,83,12,5,91,"3,6",206,58,28,01/01/2024,12/31/2024
12C0001008,PACIFIC ENDOSCOPY CENTER LLC,134 PUUHONU WAY,HILO,HI,96720,,(808) 969-3979,96,4,0,98,92,7,1,95,91,7,2,96,86,12,2,94,3,708,230,32,01/01/2024,12/31/2024
12C0001011,HAWAII ENDOSCOPY CENTER,2226 LILIHA ST SUITE 307,HONOLULU,HI,96817,,(808) 531-5838,95,5,0,97,86,11,3,92,79,17,4,93,77,21,2,91,3,682,186,27,01/01/2024,12/31/2024
12C0001012,KAISER PERMANENTE HONOLULU CLINIC ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,98,2,0,99,93,6,1,96,90,8,2,96,87,11,2,94,,3404,1088,32,01/01/2024,12/31/2024
12C0001015,HONOLULU SPINE CENTER,100 ALA MOANA BLVD 1-301,HONOLULU,HI,96813,,(808) 237-2970,95,4,1,97,87,10,3,92,85,10,5,93,79,15,6,91,3,524,115,22,01/01/2024,12/31/2024
12C0001016,PACIFIC ENDOSCOPY CENTER,1029 MAKOLU ST SUITE H,PEARL CITY,HI,96782,,(808) 456-6420,98,2,0,99,88,10,2,93,88,10,2,95,85,13,2,94,"3,6",309,97,31,01/01/2024,12/31/2024
12C0001019,EYE SURGERY CENTER OF HAWAII,650 IWILEI RD SUITE 225,HONOLULU,HI,96817,,(808) 356-4300,94,5,1,96,82,13,5,89,74,22,4,91,75,23,2,91,"3,6",198,59,30,01/01/2024,12/31/2024
12C0001021,PACIFIC ENDOSCOPY CENTER LLC,1401 SOUTH BERETANIA ST SUITE 200,HONOLULU,HI,96814,,(808) 312-6700,97,2,1,98,90,8,2,94,92,6,2,96,90,9,1,96,3,713,232,33,01/01/2024,12/31/2024
12C0001023,MINIMALLY INVASIVE SURGERY HAWAII,1401 SOUTH BERETANIA ST SUITE 600,HONOLULU,HI,96814,,(808) 356-5658,98,2,0,99,90,9,1,94,96,4,0,98,94,5,1,97,,484,204,42,01/01/2024,12/31/2024
12C0001100,KAISER WAILUKU CLINIC ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,97,3,0,98,94,5,1,97,87,12,1,95,87,11,2,95,,1372,388,28,01/01/2024,12/31/2024
13C0001032,EAGLE EYE SURGERY AND LASER CENTER,3090 EAST GENTRY WAY SUITE 100,MERIDIAN,ID,83642,,(208) 288-1600,96,3,1,98,91,8,1,95,86,11,3,94,85,13,2,94,3,1218,400,33,01/01/2024,12/31/2024
13C0001037,KOOTENAI OUTPATIENT SURGERY,707 WEST IRONWOOD DR,COEUR D ALENE,ID,83814,,(308) 625-6428,98,2,0,99,94,5,1,96,89,10,1,95,84,15,1,94,,1469,397,28,01/01/2024,12/31/2024
13C0001038,PORTNEUF ASC LLC,1151 HOSPITAL WAY BUILDING A,POCATELLO,ID,83201,,(208) 232-6616,98,2,0,99,93,5,2,96,91,8,1,96,89,11,0,96,"3,6",332,81,24,01/01/2024,12/31/2024
13C0001064,IDAHO PHYSICAL MEDICINE AND REHABILITATION PA,3551 EAST OVERLAND RD,MERIDIAN,ID,83642,,(208) 287-6558,98,2,0,99,92,5,3,95,88,9,3,95,84,12,4,93,,1134,291,26,01/01/2024,12/31/2024
13C0001073,PLEASANT VIEW SURGERY CENTER LLC,4171 W. EXPO PARKWAY,POST FALLS,ID,83854,,(208) 262-3823,99,1,0,99,95,5,0,97,95,4,1,97,96,4,0,99,"3,6",266,99,37,01/01/2024,12/31/2024
13C0001077,GEM STATE ENDOSCOPY,3709 14TH ST,LEWISTON,ID,83501,,(208) 298-2135,98,1,1,99,94,5,1,97,88,8,4,95,89,9,2,95,"3,6",140,61,44,01/01/2024,12/31/2024
13C0001091,IDAHO OTOLOGIC SURGERY CENTER LLC DBA SYRINGA OUTPATIENT SURGERY CENTER,1209 NORTH SUMMERBROOK AVENUE SUITE 110,MERIDIAN,ID,83642,,(208) 938-5823,,,,,,,,,,,,,,,,,1,,,,,
14C0001007,HINSDALE SURGICAL CENTER,10 SALT CREEK LANE,HINSDALE,IL,60521,,(630) 706-7147,,,,,,,,,,,,,,,,,1,,,,,
14C0001023,NOVAMED SURGERY CENTER OF RIVER FOREST LLC,7427 LAKE ST.,RIVER FOREST,IL,60305,,(708) 488-1300,,,,,,,,,,,,,,,,,1,,,,,
